first_appeared_in_issue,name,origin,publisher
The Legion of Super-Heroes,Lightning Lad,Alien,DC Comics
The Menace of Dream Girl!,Dream Girl,Alien,DC Comics
The War Between Supergirl and The Supermen Emergency Squad! / Supergirl's Three Super Girl-Friends!,Brainiac 5,Alien,DC Comics
Hercules in the 20th Century!,Invisible Kid,Human,DC Comics
The War Between Supergirl and The Supermen Emergency Squad! / Supergirl's Three Super Girl-Friends!,Phantom Girl,Alien,DC Comics
The War Between Supergirl and The Supermen Emergency Squad! / Supergirl's Three Super Girl-Friends!,Sun Boy,Radiation,DC Comics
Lana Lang and the Legion of Super-Heroes!,Thom Kallor,Alien,DC Comics
Escape of the Fatal Five!; Mocked By The Master!,Shadow Lass,Alien,DC Comics
The War Between Supergirl and The Supermen Emergency Squad! / Supergirl's Three Super Girl-Friends!,Duplicate Girl,Alien,DC Comics
The Confession of Superboy!,Element Lad,Alien,DC Comics
The Legion of Super-Heroes,Cosmic Boy,Alien,DC Comics
Last Fight For A Legionnaire,Micro Lad,Alien,DC Comics
The Boy With Ultra-Powers!,Ultra Boy,Alien,DC Comics
Tomorrow's Heroes Today!,Lemnos,Mutant,DC Comics
One of Us is a Traitor!,Karate Kid,Human,DC Comics
Hercules in the 20th Century!,Colossal Boy,Radiation,DC Comics
The Legion of Super-Heroes,Saturn Girl,Alien,DC Comics
,Elysion,Human,DC Comics
,Bodger,Human,DC Comics
,Bonce,Human,DC Comics
,Barney,Animal,Disney
,Zepha,Alien,DC Comics
TNTNT,Tyrannosaurus,Mutant,Malibu
TNTNT,Neuronne,Mutant,Malibu
The Subject Is... Taboo!,Taboo,Mutant,Malibu
Countdown To Ultraverse,Yrial,Human,Malibu
,Zip Zap,Human,Malibu
Countdown To Ultraverse,Grenade,Mutant,Malibu
Countdown To Ultraverse,Spectral,Human,Malibu
Countdown To Ultraverse,Lady Killer,Mutant,Malibu
TNTNT,Naiad,Mutant,Malibu
TNTNT,Tugun,Human,Malibu
Jumpstart!,J.D. Hunt,Human,Malibu
Mangled!,Guy Hunt,Human,Malibu
The Subject Is... Taboo!,Dr. Horla,Human,Malibu
Chalk ,Teknight,Robot,Malibu
Countdown To Ultraverse,Electrocute,Robot,Malibu
Hey! Hugh! Get Off'a McCloud!,Waddell,Human,Malibu
The Name Of The Game Is Fear!,Beater,Mutant,Malibu
The Name Of The Game Is Fear!,M.C. Zed,Mutant,Malibu
kirby,Rafferty,Human,Malibu
Volume 3,Jigglypuff,Animal,Nintendo
Countdown To Ultraverse,Atom Bob,Mutant,Malibu
Homeboy!,Byter,Mutant,Malibu
Homeboy!,Gangsta,Human,Malibu
Homeboy!,Brazen,Mutant,Malibu
Party Time!,Generator X,Mutant,Malibu
Party Time!,Lightshow,Mutant,Malibu
Gay Decievers,The Face,Human,AC Comics
Women Warriors Of The Moon,Auro,Human,Fiction House
Space Islands Of Destruction,Gale Allen,Human,Fiction House
Death Rays from the Sun,Futura,Human,AC Comics
The Green Legions Of  Xalan,Hunt Bowman,Human,Fiction House
The Green Legions Of  Xalan,Lyssa,Human,Fiction House
,Captain Science,Human,Youthful
,Mysta of the Moon,Human,Fiction House
,Bron,Robot,Fiction House
Scoop Comics,Rocketman,Human,Harry A. Chesler/Dynamic
The Voice,Commando Yank,Human,Fawcett Publications
,Minute Man,Human,DC Comics
,Mickey Matthews,Human,Holyoke
,Black X,Human,Quality Comics
,Dan Richards,Human,DC Comics
,Shanghai Lil,Human,AC Comics
Topolino e le rane saltatrici,Zenobia,Animal,Disney
Here Comes Bulletman,Bulletgirl,Human,DC Comics
,Nightveil,Human,AC Comics
One Slip,Queen Reina,Human,AC Comics
,Proxima,Alien,AC Comics
Up From The Ashes Rises...Death!,Garganta,Human,AC Comics
Captain Fearless,Ms. Victory,Human,Holyoke
,Dragonfly,Human,AC Comics
Tim Holt,Red Mask,Human,Magazine Enterprises
The Durango Kid,Durango Kid,Human,Magazine Enterprises
,Ghita of Alizarr,Human,Eros Comix
G Force to the Rescue!,Jason,Human,Tatsunoko Production
G Force to the Rescue!,Keyop,Human,Tatsunoko Production
G Force to the Rescue!,Mark,Human,Tatsunoko Production
G Force to the Rescue!,Princess,Human,Tatsunoko Production
G Force to the Rescue!,Tiny,Human,Tatsunoko Production
,Director Anderson,Human,Tatsunoko Production
G Force to the Rescue!,Zoltar,Alien,Tatsunoko Production
,Nyoka,Human,Fawcett Publications
,Betty Lou,Animal,Disney
Sinbad and the Eyes of Fire: Part One,Natsuki,Human,Zenescope Entertainment
,William Sherman,Human,Non-Fictional
Benjamin Franklin,Louis XVI,Human,Non-Fictional
,The Man In The Iron Mask,Human,In the Public Domain
,Dragon,Other,Comics Interview
-,Shiki,Human,SNK Playmore
,Serpent,Other,Comics Interview
Magic,Paracelsus,Human,Non-Fictional
,Soliloquy Jones,Human,Heroic Publishing
This'll be the Day / Loose Ends,American Pi,Human,Top Cow
This'll be the Day / Loose Ends,Zhang,Human,Top Cow
This'll be the Day / Loose Ends,Stevie Parsons,Human,Top Cow
Roles / Elsewhere,Digital Man,Human,Top Cow
Roles / Elsewhere,Analog Kid,Human,Top Cow
Sanctuary / Heir of Truth,Volkswagner,Human,Top Cow
Sanctuary / Heir of Truth,Acidic Jew,Human,Top Cow
,Knockout,Human,Skybound
Time of Their Lives / Fat Chance / Glory Days,Red Fox,Human,Top Cow
Where Monsters Dine! / Lovelife,Wang Dang Doodle,Animal,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Eternal Flame,Human,Top Cow
Sanctuary / Heir of Truth,Charm,Human,Top Cow
Sanctuary / Heir of Truth,Deb-U-Ton,Human,Top Cow
Sanctuary / Heir of Truth,Strangeness,Human,Top Cow
Beyond the Speed of Life / Head Games,Speeding Bullet,Human,Top Cow
Beyond the Speed of Life / Head Games,Mental Midget,Human,Top Cow
Where Monsters Dine! / Lovelife,Grondar,Alien,Top Cow
Where Monsters Dine! / Lovelife,Crittorr,Animal,Top Cow
Where Monsters Dine! / Lovelife,Kkrapp,Other,Top Cow
Where Monsters Dine! / Lovelife,Larry,Human,Top Cow
Where Monsters Dine! / Lovelife,Oola,Human,Top Cow
Where Monsters Dine! / Lovelife,Patriette,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Blackwatch,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Commander Power,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Hi-Tec,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Coldspell,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Miniaturian,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Belle-Aire,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Flaming Follicle,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Mach Master,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Magna-Woman,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Captain Gallant,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,KittyCat,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Big Money,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Bloodstain,Human,Top Cow
Time of Their Lives / Fat Chance / Glory Days,Die-Cut,Human,Top Cow
Prog 982,Demi Octavo,Human,Rebellion
"I, Monster",Lucas Jackson,Mutant,Marvel
Roles / Elsewhere,Jenny Saunders,Human,Top Cow
,Ryo Sakazaki,Human,SNK Playmore
,John Dante,Human,Top Cow
Beyond the Speed of Life / Head Games,Ed Franklin,Human,Top Cow
Beyond the Speed of Life / Head Games,Man-Witch,Human,Top Cow
,Airboy,Human,Hillman
,Billy,Animal,Disney
,Bravestarr,Human,Blackthorne
And the Wind Howls... Wendigo!,Wolverine,Mutant,Marvel
X-Men,Magneto,Mutant,Marvel
Meet Captain America,Captain America,Human,Marvel
,Spider-Man,Human,Marvel
Deadly Genesis,Storm,Mutant,Marvel
The Origin of Professor X,Juggernaut,Human,Marvel
By Friends Betrayed,Rogue,Mutant,Marvel
,Layla Miller,Mutant,Marvel
The She-Hulk Lives,She-Hulk,Radiation,Marvel
Out of Hell - A Hero!,Luke Cage,Human,Marvel
The Coming of the Falcon,Falcon,Human,Marvel
Dark Destiny,Spider-Woman,Human,Marvel
Act 1: The Suit,Sentry,Radiation,Marvel
Iron Man is Born!,Iron Man,Human,Marvel
,Doctor Strange,Human,Marvel
God Spare The Child...,Emma Frost,Mutant,Marvel
X-Men,Cyclops,Mutant,Marvel
Surhomme en pÃ©ri,Colossus,Mutant,Marvel
Deadly Genesis,Nightcrawler,Mutant,Marvel
X-Men,Beast,Mutant,Marvel
The New Mutants: Renewal,Moonstar,Mutant,Marvel
X-Men,Iceman,Mutant,Marvel
The Coming of the Wonder Man,Wonder Man,Radiation,Marvel
The Brotherhood of Evil Mutants,Scarlet Witch,Mutant,Marvel
The Brotherhood of Evil Mutants,Quicksilver,Mutant,Marvel
Prisoners of Doctor Doom!,Doctor Doom,Human,Marvel
The Deep Deadly Silence!,Mystique,Mutant,Marvel
The Brotherhood of Evil Mutants,Toad,Mutant,Marvel
The Coming of Captain Marvel,Captain Marvel,Alien,Marvel
Who Dares Defy The Demi-Men?,Polaris,Mutant,Marvel
Cloak and Dagger!,Cloak,Human,Marvel
"Hawkeye, The Marksman",Hawkeye,Human,Marvel
Here is the Sub-Mariner!,Namor,Mutant,Marvel
Introducing the Sensational Black Panther,Black Panther,Human,Marvel
Wanted: Wolverine! Dead Or Alive!,Sasquatch,Radiation,Marvel
Never Let the Black Cat Cross Your Path!,Black Cat,Human,Marvel
If This Be My Destiny,Gwen Stacy,Human,Marvel
Spider-Man No More!,Kingpin,Human,Marvel
Spider-Man Versus Doctor Octopus,Doctor Octopus,Human,Marvel
Homecoming!,Venom,Alien,Marvel
Spider-Man; Spider-Man Vs. The Chameleon,J. Jonah Jameson,Human,Marvel
Face-To-Face With The Lizard,Lizard,Human,Marvel
,Flash Thompson,Human,Marvel
Death Toy!,Carnage,Alien,Marvel
Have Yourself a Sandman Little Christmas!,Misty Knight,Human,Marvel
The Fury of Iron Fist!,Iron Fist,Human,Marvel
The Stalker called Moon Knight,Moon Knight,Human,Marvel
Death-Cult,Colleen Wing,Human,Marvel
The New Mutants: Renewal,Cannonball,Mutant,Marvel
The Dramatic Debut of the Dazzler!,Dazzler,Mutant,Marvel
Gambit â€“ Out of the Frying Pan,Gambit,Mutant,Marvel
Stings & Sorrows!,Yellowjacket (DeMara),Human,Marvel
The Creature From Kosmos!!,Wasp,Human,Marvel
Payback,Bishop,Mutant,Marvel
Behold...The Vision,Vision,Robot,Marvel
X-Men,Professor X,Mutant,Marvel
,Rocky Lane,Human,Non-Fictional
"Charley Fish: ""Golf""",Slim Pickins,Human,Non-Fictional
,The Saint,Human,Avon
,Lucky Dale,Human,Avon
Lifestyles of the Dead,Kid Quantum,Alien,DC Comics
The Punisher Strikes Twice,Punisher,Human,Marvel
The Rev,Microchip,Human,Marvel
Loose Ends,Recoil,Human,Marvel
Danger is a Man Called Tarantula!,Tarantula,Human,Marvel
The Fury of the Freak / 30 Minutes to Live,Batroc,Human,Marvel
Eurohit #2: French Connections,Rapido,Cyborg,Marvel
Eurohit #1: Arrivals,Snakebite,Human,Marvel
Eurohit #2: French Connections,Chauffard,Human,Marvel
Ground Zero,Typhoid Mary,Mutant,Marvel
Let The Punisher Fit The Crime!,Jigsaw,Human,Marvel
The Musketeers!,Ivar Anni-Padda,God/Eternal,Valiant
Untitled; Momma Knows Best!; The Hole Truth!; Untitled,Wacky Squirrel,Robot,Dark Horse Comics
,Mezzrow,Alien,First
Featuring ElfQuest,Skywise,Other,Warp Graphics
WOLFSONG,Bearclaw,Other,Warp Graphics
Quest's End part Two,Mender,Alien,Warp Graphics
Raid At Sorrows End,Rayek,Alien,Warp Graphics
Featuring ElfQuest,Treestump,Other,Warp Graphics
Turning Tide,Kroosh,Other,Warp Graphics
Turning Tide,Puffer,Other,Warp Graphics
,Wavecatcher,Other,Warp Graphics
,Wavelet,Other,Warp Graphics
Turning Tide,Darshek,Other,Warp Graphics
,X(A/N)th,God/Eternal,Warp Graphics
Featuring ElfQuest,Scouter,Other,Warp Graphics
WolfWood,Tyleet,Other,Warp Graphics
Featuring ElfQuest,Pike,Other,Warp Graphics
Part 5,Krim,Other,Warp Graphics
Featuring ElfQuest,Nightfall,Alien,Warp Graphics
Featuring ElfQuest,Dewshine,Other,Warp Graphics
,Pool,Other,Warp Graphics
,Sust,Other,Warp Graphics
,Millicent,Animal,Disney
Turning Tide,Spine,Other,Warp Graphics
Turning Tide,Longfin,Other,Warp Graphics
Turning Tide,Krill,Other,Warp Graphics
Turning Tide,Brill,Other,Warp Graphics
,Lehrigen,Human,Warp Graphics
,Angrif,Human,Warp Graphics
Turning Tide,Redcrest,Other,Warp Graphics
"STARFALL, STARRISE",Shale,Other,Warp Graphics
Turning Tide,No-Ripple,Other,Warp Graphics
,Jethel,Other,Warp Graphics
GOING BACK,Chot,Alien,Warp Graphics
NOW YOU SEE HER...,Jink,Alien,Warp Graphics
SHARDS PART THREE,Grohmul Djun,Human,Warp Graphics
,Gifa,Human,Warp Graphics
